015XX E 67TH ST,244
035XX S COTTAGE GROVE AVE,244
046XX S DREXEL BLVD,244
061XX N BROADWAY,244
070XX S JEFFERY BLVD,244
078XX S COTTAGE GROVE AVE,244
0000X N LATROBE AVE,243
075XX S COLES AVE,243
0000X W JACKSON BLVD,242
020XX W NORTH AVE,242
025XX N MILWAUKEE AVE,242
032XX W NORTH AVE,242
037XX W DIVISION ST,242
052XX W WASHINGTON BLVD,242
008XX W BELMONT AVE,241
012XX N STATE PKWY,241
016XX S DRAKE AVE,241
039XX N SHERIDAN RD,241
039XX W VAN BUREN ST,241
046XX S DAMEN AVE,241
072XX S STONY ISLAND AVE,241
079XX S ESCANABA AVE,241
082XX S HOUSTON AVE,241
109XX S DOTY AVE E,241
002XX S LAVERGNE AVE,240
011XX S INDEPENDENCE BLVD,240
015XX S CALIFORNIA BLVD,240
015XX S CHRISTIANA AVE,240
015XX W GARFIELD BLVD,240
038XX W CHICAGO AVE,240
050XX W MONROE ST,240
007XX N CICERO AVE,239
032XX W WASHINGTON BLVD,239
113XX S MICHIGAN AVE,239
0000X N HAMLIN BLVD,238
027XX W CERMAK RD,238
052XX N LINCOLN AVE,238
083XX S INGLESIDE AVE,238
091XX S COTTAGE GROVE AVE,238
030XX S HALSTED ST,237
032XX N SHEFFIELD AVE,237
032XX W 87TH ST,237
037XX W DOUGLAS BLVD,237
081XX S MARYLAND AVE,237
001XX S WABASH AVE,236
011XX N PULASKI RD,236
012XX N PULASKI RD,236
017XX W FULLERTON AVE,236
018XX S KARLOV AVE,236
044XX W CONGRESS PKWY,236
064XX S HONORE ST,236
019XX E 79TH ST,235
022XX S WESTERN AVE,235
045XX W JACKSON BLVD,235
049XX W WALTON ST,235
055XX W JACKSON BLVD,235
069XX S PAXTON AVE,235
0000X N MAYFIELD AVE,234
0000X W HURON ST,234
002XX S LARAMIE AVE,234
030XX W 63RD ST,234
061XX S VERNON AVE,234
080XX S MARSHFIELD AVE,234
130XX S ELLIS AVE,234
003XX E 131ST PL,233
010XX N LARAMIE AVE,233
013XX S SPRINGFIELD AVE,233
038XX W MAYPOLE AVE,233
041XX S ASHLAND AVE,233
047XX S ASHLAND AVE,233
048XX W MADISON ST,233
058XX N LINCOLN AVE,233
062XX S COTTAGE GROVE AVE,233
112XX S MICHIGAN AVE,233
001XX E DELAWARE PL,232
009XX N HOMAN AVE,232
012XX S DAMEN AVE,232
078XX S LAFLIN ST,232
109XX S DOTY AVE W,232
005XX N LAWLER AVE,231
007XX W 31ST ST,231
035XX W NORTH AVE,231
075XX S PHILLIPS AVE,231
111XX S VERNON AVE,231
003XX W ERIE ST,230
006XX N CICERO AVE,230
006XX N RIDGEWAY AVE,230
008XX N CENTRAL PARK AVE,230
004XX N SPRINGFIELD AVE,229
009XX N PULASKI RD,229
032XX W CONGRESS PKWY,229
061XX S MORGAN ST,229
069XX S INDIANA AVE,229
090XX S COMMERCIAL AVE,229
0000X N KILBOURN AVE,228
029XX W MADISON ST,228
046XX W 59TH ST,228
049XX W OHIO ST,228
050XX W GLADYS AVE,228
003XX E 51ST ST,227
013XX E 47TH ST,227
016XX N DAMEN AVE,227
026XX N CLARK ST,227
035XX N HALSTED ST,227
049XX W QUINCY ST,227
056XX S MAY ST,227
063XX S EBERHART AVE,227
065XX S CALIFORNIA AVE,227
072XX S PHILLIPS AVE,227
077XX S YATES BLVD,227
079XX S MARQUETTE AVE,227
001XX W GARFIELD BLVD,226
015XX W JONQUIL TER,226
057XX S PRAIRIE AVE,226
059XX N GLENWOOD AVE,226
072XX S COLES AVE,226
001XX N PINE AVE,225
003XX E PERSHING RD,225
024XX E 79TH ST,225
038XX W GLADYS AVE,225
040XX W VAN BUREN ST,225
055XX W CORCORAN PL,225
075XX N WESTERN AVE,225
076XX S PHILLIPS AVE,225
119XX S MICHIGAN AVE,225
0000X W KINZIE ST,224
001XX E WALTON ST,224
001XX N PARKSIDE AVE,224
002XX S WABASH AVE,224
010XX N RUSH ST,224
011XX N LAWLER AVE,224
012XX W LELAND AVE,224
017XX W JUNEWAY TER,224
019XX W HARRISON ST,224
028XX W 63RD ST,224
047XX S KEDZIE AVE,224
054XX N SHERIDAN RD,224
056XX S EMERALD AVE,224
067XX S CHAPPEL AVE,224
063XX S RACINE AVE,223
076XX S COLFAX AVE,223
001XX E 71ST ST,222
006XX N ST LOUIS AVE,222
010XX W NORTH AVE,222
015XX N SEDGWICK ST,222
015XX S HOMAN AVE,222
041XX W WEST END AVE,222
042XX W MONROE ST,222
044XX W WASHINGTON BLVD,222
070XX N CLARK ST,222
076XX N BOSWORTH AVE,222
002XX W JACKSON BLVD,221
015XX W 47TH ST,221
016XX N CICERO AVE,221
